codice	nome	nome_en	pattern	gruppo_target	attrezzo	luogo	muscoli	livello	uso	zone_rischio	adattamento	alternativa	setup	esecuzione	errori	nota_sicurezza	surrogato_attrezzo	nota_surrogato	esecuzione_surrogato	errori_surrogato	gif_slug
EX587	Battle rope onde alternate		cardio_metabolico		battle rope	palestra	spalle;dorsali;core;avambracci;gambe	intermedio;avanzato	finisher	spalle;lombare	spalle: onde più corte e basse, gomiti vicini al corpo. lombare: mezzo squat stabile, non flettere il busto in avanti	EX593	In piedi in stance atletica, un capo di corda per mano, ginocchia morbide in mezzo squat, busto leggermente inclinato	Alza e abbassa le braccia alternate creando onde continue;Il bacino resta basso e fermo per tutta la serie;Il movimento parte dalle spalle, non dai polsi;Respiro ritmico e continuo	Busto che si raddrizza perdendo la posizione atletica;Onde che si spengono a metà serie;Movimento di solo polso;Spalle che salgono alle orecchie	Se le spalle scaldano o il ritmo cala, chiudi la serie: la tecnica si perde prima della forza					battle-rope-onde-alternate
EX588	Boxe diretto al sacco		cardio_metabolico		sacco	palestra	spalle;pettorali;tricipiti;core;gambe	principiante;intermedio;avanzato	finisher	polsi;spalle	polsi: fascia i polsi e riduci la potenza, colpisci di tocco. spalle: colpi più corti senza estendere del tutto il gomito	EX053	Guardia di boxe davanti al sacco, piedi sfalsati, pugni all'altezza degli zigomi, gomiti chiusi	Colpisci il sacco con un diretto estendendo il braccio;Ruota il busto e il piede posteriore accompagnando il colpo;Riporta subito la mano in guardia;Respiro ritmico, espira sul colpo	Gomito bloccato in iperestensione all'impatto;Guardia che si abbassa dopo il colpo;Polso piegato all'impatto;Colpo di solo braccio senza rotazione del busto	Non colpire mai a polso piegato né a mani nude su sacco duro					boxe-diretto-al-sacco
EX589	Boxe diretto alternato		cardio_metabolico		corpo libero	casa;libero;palestra	spalle;pettorali;tricipiti;core	principiante;intermedio;avanzato	finisher	spalle;gomito	spalle: colpi più corti, mani più basse. gomito: non estendere completamente, ferma il colpo prima del blocco articolare	EX053	Guardia di boxe, piedi sfalsati, peso distribuito, pugni all'altezza degli zigomi	Estendi un braccio in diretto ruotando il busto;Richiama la mano in guardia e alterna con l'altro braccio;Il piede posteriore ruota accompagnando il colpo;Respiro ritmico e continuo	Gomito bloccato a fine colpo;Movimento di solo braccio senza torsione del busto;Guardia bassa tra un colpo e l'altro;Spalle alte verso le orecchie	Ferma il colpo prima dell'estensione completa: a vuoto non c'è nulla che assorba l'impatto					boxe-diretto-alternato
EX590	Boxe footwork		cardio_metabolico		corpo libero	casa;libero;palestra	polpacci;quadricipiti;glutei;core	principiante;intermedio;avanzato	riscaldamento	caviglie;ginocchia	caviglie: rimbalzi più bassi, piedi che restano quasi a terra. ginocchia: spostamenti più corti e ritmo ridotto	EX589	Guardia di boxe, ginocchia morbide, peso sull'avampiede, mani in guardia alta	Rimbalza sull'avampiede spostandoti avanti, indietro e di lato;I piedi non si incrociano mai;La guardia resta alta per tutto il lavoro;Respiro ritmico e continuo	Piedi che si incrociano;Talloni che si appoggiano a terra;Guardia che si abbassa;Spostamenti troppo ampi che tolgono equilibrio	Servono scarpe con buona presa: su superficie liscia il piede scivola					boxe-footwork
EX591	Boxe gancio		cardio_metabolico		corpo libero	casa;libero;palestra	spalle;pettorali;obliqui;core	principiante;intermedio;avanzato	finisher	spalle;lombare	spalle: arco più corto, gomito meno alto. lombare: riduci la rotazione del busto e ruota di più sul piede	EX116	Guardia di boxe, piedi sfalsati, gomiti chiusi, pugni all'altezza degli zigomi	Porta il pugno in arco orizzontale ruotando busto e piede;Il gomito resta piegato a circa novanta gradi per tutto l'arco;Richiama subito la mano in guardia;Respiro ritmico, espira sul colpo	Colpo portato di solo braccio senza rotazione;Gomito che si abbassa trasformando il gancio in uno schiaffo;Guardia opposta che si abbassa;Rotazione della schiena invece che dell'anca	La rotazione parte dal piede e dall'anca, non dalla colonna					boxe-gancio
EX592	Boxe jab		cardio_metabolico		corpo libero	casa;libero;palestra	spalle;tricipiti;core	principiante;intermedio;avanzato	finisher	spalle;gomito	spalle: colpo più corto e più basso. gomito: ferma l'estensione prima del blocco articolare	EX589	Guardia di boxe, piede debole avanti, pugni all'altezza degli zigomi, gomiti chiusi	Estendi il braccio avanzato in linea retta;Ruota leggermente il pugno a fine colpo;Richiama subito la mano lungo la stessa traiettoria;Respiro ritmico, espira sul colpo	Spalla che non protegge il mento durante il colpo;Braccio che torna per una traiettoria larga;Gomito bloccato in iperestensione;Busto che si sbilancia in avanti	Ferma il colpo prima dell'estensione completa: a vuoto non c'è nulla che lo assorba					boxe-jab
EX593	Burpee		cardio_metabolico		corpo libero	casa;libero;palestra	quadricipiti;glutei;pettorali;spalle;core	intermedio;avanzato	finisher	lombare;ginocchia;polsi;spalle	ginocchia/lombare: togli il salto finale e porta i piedi indietro un passo alla volta (versione EX054). polsi: appoggia sui pugni chiusi o su due manubri	EX054	In piedi, piedi a larghezza anche, busto eretto, braccia lungo il corpo	Accovacciati appoggiando le mani a terra davanti ai piedi;Porta i piedi indietro in plank con un salto;Riporta i piedi alle mani e risali esplodendo in un salto verticale con braccia in alto;Atterra morbido e incatena la ripetizione	Bacino che si inarca nel plank;Atterraggio rigido a ginocchia bloccate;Spalle che si scrollano in alto;Ripetizioni che si sfaldano quando arriva la stanchezza	Quando la schiena inizia a cedere nel plank la serie è finita: chiudila invece di aggiungere ripetizioni					burpee
EX594	Burpee navy seal		cardio_metabolico		corpo libero	casa;libero;palestra	pettorali;tricipiti;spalle;core;quadricipiti;glutei	avanzato	finisher	lombare;spalle;polsi;ginocchia	lombare: togli il piegamento e resta al burpee semplice (EX593). spalle/polsi: piegamento sulle ginocchia o mani su rialzo	EX593	In piedi, piedi a larghezza anche, braccia lungo il corpo	Accovacciati, mani a terra, porta i piedi indietro in plank;Esegui un piegamento completo scendendo col petto verso terra;Riporta i piedi alle mani e risali in piedi;Ritmo continuo, respiro ritmico	Bacino che sale o affonda durante il piegamento;Piegamento parziale;Schiena inarcata nel plank;Atterraggio pesante sui polsi	È la versione più impegnativa della famiglia: senza un piegamento pulito a corpo fresco, resta su EX593					burpee-navy-seal
EX595	Calcio circolare sacco		cardio_metabolico		sacco	palestra	glutei;quadricipiti;obliqui;core;adduttori	intermedio;avanzato	finisher	ginocchia;anca;lombare	ginocchia/anca: calcio più basso, al livello della coscia, e rotazione ridotta. lombare: non inarcare per guadagnare altezza, abbassa il bersaglio	EX591	Guardia di boxe a distanza di calcio dal sacco, peso sull'avampiede, guardia alta	Ruota il piede d'appoggio e porta la gamba in traiettoria circolare verso il sacco;Colpisci con la tibia all'altezza del tronco;Richiama la gamba e torna in guardia;Respiro ritmico, espira sul colpo	Piede d'appoggio che non ruota, caricando il ginocchio in torsione;Colpire di punta invece che di tibia;Guardia che si abbassa durante il calcio;Cercare altezza inarcando la schiena	Il piede d'appoggio deve ruotare prima dell'impatto: è la torsione a ginocchio fermo che fa i danni					calcio-circolare-sacco
EX596	Camminata bear crawl		cardio_metabolico		corpo libero	casa;libero;palestra	spalle;core;quadricipiti;tricipiti	intermedio	finisher	spalle;polsi;lombare	polsi: appoggia sui pugni chiusi o su due manubri. spalle: percorsi più corti con pause. lombare: ginocchia più vicine a terra, bacino basso	EX171	A quattro appoggi, mani sotto le spalle, ginocchia sollevate di pochi centimetri da terra, schiena piatta	Avanza muovendo mano destra e piede sinistro insieme, poi gli opposti;Le ginocchia restano basse e non toccano mai terra;Il bacino resta all'altezza delle spalle senza oscillare;Respiro continuo, non trattenere	Bacino che si alza a candela;Ginocchia che toccano terra;Oscillazione laterale del bacino a ogni passo;Passi troppo lunghi che sbilanciano	Se i polsi danno fastidio passa agli appoggi sui pugni prima di ridurre la distanza					camminata-bear-crawl
