codice,nome,nome_en,pattern,gruppo_target,attrezzo,luogo,muscoli,livello,uso,zone_rischio,adattamento,alternativa,setup,esecuzione,errori,nota_sicurezza,surrogato_attrezzo,nota_surrogato,esecuzione_surrogato,errori_surrogato,gif_slug
EX001,Chest press,,spinta orizzontale,petto,elastico,casa;libero;palestra,pettorale;deltoide anteriore;tricipiti,intermedio,principale;finisher,spalle;lombare,"spalle: riduci il range, non portare i gomiti troppo dietro la linea del busto. lombare: core e gluteo contratti, no inarcamento",EX003,"Elastico ancorato dietro all'altezza del petto. In piedi, busto leggermente inclinato avanti. Una maniglia per mano","Spinta orizzontale in avanti delle braccia fino a estensione, senza bloccare i gomiti;Discesa controllata verso il petto 2-3 sec;Espira nello sforzo, inspira nel ritorno",Inarcamento eccessivo della schiena;Spalle che si elevano durante la spinta;Movimento troppo veloce in eccentrica,Lombari: core e gluteo SEMPRE contratti per evitare iperestensione,,,,,
EX002,Distensioni manubri panca piana,Dumbbell bench press flat bench,spinta orizzontale,petto,manubri,palestra,pettorale;deltoide anteriore;tricipiti,intermedio,principale,spalle,"spalle: presa poco piu' larga delle spalle, scapole addotte e depresse, non scendere sotto la soglia di fastidio",EX001,"Sdraiato su panca, piedi a terra, scapole retratte e depresse. Presa poco piu' larga delle spalle","Discesa controllata del bilanciere allo sterno 2-3 sec;Spinta verso l'alto fino a estensione, senza bloccare i gomiti;Inspira e tieni il core in tensione, espira spingendo; non trattenere a lungo",Rimbalzo del bilanciere sul petto;Sollevamento dei glutei dalla panca;Gomiti troppo aperti a 90 gradi,Usa sempre i fermi o uno spotter sui carichi alti,panca+elastico,"Sdraiato sulla panca con piedi a terra, elastico ancorato basso dietro la testa, una maniglia per mano all'altezza del petto, spinta orizzontale in avanti come una panca piana","Sdraiato sulla panca, piedi a terra, scapole retratte e depresse;Elastico ancorato basso dietro la testa, una maniglia per mano all'altezza del petto, gomiti a ~75° dal busto;Spingi le maniglie in avanti-alto fino a estensione senza bloccare i gomiti;Ritorno controllato 2-3 sec, senti la tensione eccentrica sull'elastico","Elastico ancorato troppo in alto: curva di resistenza invertita, perdi il picco di tensione nella spinta;Gomiti a 90° troppo aperti: stress capsulare spalla;Ritorno troppo veloce: vanifichi l'eccentrica;Scapole che si staccano dalla panca durante la spinta",distensioni-manubri-panca-piana
EX003,Piegamenti,Push up,spinta orizzontale,petto,corpo libero,casa;libero;palestra,pettorale;deltoide anteriore;tricipiti;core,principiante,principale;finisher,spalle;polsi,"polsi: usa maniglie push-up o appoggio sui pugni per polso neutro. spalle: gomiti a circa 45 gradi dal busto, non a 90",EX001,"Mani a terra poco piu' larghe delle spalle, corpo in linea retta dalla testa ai talloni","Discesa controllata fino a sfiorare il petto a terra 2-3 sec;Spinta verso l'alto mantenendo il corpo in linea;Inspira e tieni il core in tensione, espira spingendo; non trattenere a lungo",Bacino che cede verso il basso;Testa in avanti;Range incompleto,"Se troppo difficile, esegui con le ginocchia a terra (regressione)",,,,,piegamenti
EX004,Croci cavi alti,Cable cross over,isolamento,petto,cavi,palestra,pettorale basso,intermedio,finisher,spalle,"spalle: gomiti morbidi, non superare la soglia di fastidio in apertura",EX351,"In piedi al centro della torre a cavi, pulegge in alto, presa una maniglia per mano, leggero passo avanti",Porta le mani verso il basso e in avanti incrociando leggermente davanti al bacino;Ritorno controllato in apertura 2-3 sec;Gomiti fissi leggermente flessi per tutto il movimento,Gomiti che si flettono di piu' a fine corsa (diventa spinta);Busto che si inclina per aiutarsi;Apertura eccessiva con spalle in avanti,"Non superare la linea delle spalle in apertura, mantenere le scapole stabili",elastico,"Elastico ancorato in alto al posto delle pulegge, una maniglia per mano, stessa traiettoria dall'alto verso il basso","Ancora l'elastico in alto dietro di te, una maniglia per mano, leggero passo avanti;Porta le mani verso il basso e in avanti incrociando davanti al bacino;Ritorno controllato in apertura 2-3 sec;Gomiti fissi leggermente flessi per tutto il movimento",Gomiti che si flettono a fine corsa (diventa spinta);Busto che si inclina per aiutarsi;Elastico troppo lasco a inizio movimento: la tensione deve esserci gia' in allungo,croci-cavi-alti
EX005,Curl bilanciere panca Scott seduto,Barbell Preacher Curl,isolamento,bicipiti,bilanciere;panca Scott,palestra,bicipiti;brachiale;brachioradiale,intermedio,principale;finisher,gomito;polso,gomito: riduci il range e il carico se fastidio; evita di bloccare l'articolazione a fine movimento.,,"Posizione stabile, core in leggera tensione, presa salda sull'attrezzo indicato.","Fletti controllando il movimento fino a contrazione piena;Eccentrica lenta 2-3 sec;Espira nello sforzo, inspira nel ritorno",Slancio con schiena/spalle;Gomito che si sposta dalla posizione;Range incompleto,Non bloccare il gomito in estensione a fine ripetizione.,,,,,curl-bilanciere-panca-scott-seduto
EX006,Lento avanti bilanciere,Barbell shoulder press standing,spinta verticale,deltoidi anteriori,bilanciere,palestra,deltoide anteriore;deltoide laterale;tricipiti;trapezio superiore,avanzato,principale,spalle;lombari,"lombare: usa cintura e core contratto, evita inarcamento. spalle: se mobilita' limitata, passa a manubri (presa neutra)",EX425,"In piedi, bilanciere all'altezza delle clavicole, presa prona poco piu larga delle spalle, piedi larghezza anche, core e glutei contratti","Spinta verticale sopra la testa, testa che avanza leggermente a fine spinta;Estensione senza bloccare i gomiti;Discesa controllata alle clavicole 2-3 sec",Iperestensione lombare a fine spinta;Traiettoria in avanti invece che verticale;Perdere la tenuta del core,Blocca core e glutei prima di spingere: senza tenuta il carico scarica sulla lombare,elastico,"Elastico sotto i piedi, maniglie all'altezza spalle: resistenza crescente verso l'alto, utile a casa",Spinta verticale contro la resistenza crescente;Discesa controllata senza far collassare l'elastico,Elastico troppo corto che impedisce l'estensione completa;Rilasciare la tensione in basso,lento-avanti-bilanciere
EX007,Curl bilanciere arm blaster,Arm Blaster Barbell Curl,isolamento,bicipiti,bilanciere;Arm Blaster,palestra,bicipiti;brachiale;brachioradiale,intermedio,principale;finisher,gomito;polso,gomito: riduci il range e il carico se fastidio; evita di bloccare l'articolazione a fine movimento.,,"Posizione stabile, core in leggera tensione, gomiti bloccati sull'Arm Blaster.","Fletti controllando il movimento fino a contrazione piena;Eccentrica lenta 2-3 sec;Espira nello sforzo, inspira nel ritorno",Slancio con schiena/spalle;Gomiti che si staccano dal supporto;Range incompleto,Non bloccare il gomito in estensione a fine ripetizione.,,,,curl-bilanciere-dritto-arm-blaster-in-piedi-standing-arm-blaster-barbell-simultaneous-curl,curl-bilanciere-arm-blaster
EX008,Trazioni sbarra,Pull-up,tirata verticale,dorsali,sbarra,casa;libero;palestra,gran dorsale;bicipiti;romboidi;trapezio medio;core,intermedio;avanzato,principale,spalle;gomito,"spalle: se manca la forza, usa la versione assistita con elastico o il gravitron. gomito: non bloccare le braccia in basso",EX508,"Appeso alla sbarra con presa prona poco piu larga delle spalle, braccia distese, gambe leggermente flesse dietro, core contratto",Tirata verso l'alto fino a portare il mento sopra la sbarra;Contrai le scapole in basso e insieme;Discesa controllata 3 sec fino a braccia distese;Corpo senza oscillazioni,Non completare la distensione in basso;Usare slancio con le gambe (kipping);Non arrivare con il mento sopra la sbarra,"Progressione: se non riesci a fare trazioni complete, parti da eccentriche o assistite con elastico",elastico,"Trazioni rese con elastico ancorato in alto tirato verso il petto, oppure trazioni assistite con elastico alla sbarra","Elastico ancorato in alto sopra la testa, maniglie in mano a braccia distese;Tira i gomiti verso il basso-indietro portando le maniglie al petto, scapole che si abbassano;Contrai i dorsali a fine trazione, busto fermo;Ritorno lento 3 sec controllando l'eccentrica",Tirare solo di braccia senza attivare i dorsali;Spalle che salgono verso le orecchie;Busto che oscilla;Ritorno di scatto,trazioni-sbarra
EX009,Lat machine frontale,Lat pulldown,tirata verticale,dorsali,macchina,casa;palestra,gran dorsale;bicipiti;romboidi;trapezio medio,principiante;intermedio,principale,spalle;lombare,"spalle: tirata fino alla parte alta del petto, mai dietro il collo. lombare: busto leggermente indietro, core contratto",EX450,"Seduto alla lat machine, cosce bloccate sotto i pad, barra con presa prona poco piu larga delle spalle, busto leggermente inclinato indietro",Tirata della barra verso la parte alta del petto;Contrai le scapole in basso e insieme;Risalita controllata 3 sec fino a braccia distese;Gomiti che scendono lungo il corpo,Slanciare il busto avanti e indietro;Tirare con i bicipiti anziche con la schiena;Non completare la distensione in alto,"Il movimento parte dalle scapole, non dalle braccia: pensa a portare i gomiti verso le tasche",elastico,"Elastico ancorato in alto (porta o gancio), in ginocchio o seduto sotto l'ancoraggio: riproduce la tirata verticale della lat machine","Elastico ancorato sopra la testa, maniglie in mano, braccia distese in alto, core contratto;Tira i gomiti verso il basso-indietro portando le maniglie all'altezza del petto;Contrai i dorsali e abbassa le scapole a fine tirata, busto fermo;Ritorno lento 3 sec controllando l'eccentrica, senza far collassare l'elastico",Tirare solo di braccia senza attivare i dorsali;Spalle che salgono verso le orecchie;Busto che oscilla avanti e indietro;Ritorno di scatto che vanifica l'eccentrica,lat-machine-frontale
EX010,Curl hammer manubri alternato panca verticale,Dumbbell Hammer Alternating Curl vertical bench,isolamento,bicipiti,manubri;panca,palestra;casa,bicipiti;brachiale;brachioradiale,intermedio,principale;finisher,gomito;polso,gomito: riduci il range e il carico se fastidio; evita di bloccare l'articolazione a fine movimento.,,"Posizione stabile, core in leggera tensione, presa salda sull'attrezzo indicato.","Fletti controllando il movimento fino a contrazione piena;Eccentrica lenta 2-3 sec;Espira nello sforzo, inspira nel ritorno",Slancio con schiena/spalle;Gomito che si sposta dalla posizione;Range incompleto,Non bloccare il gomito in estensione a fine ripetizione.,,,,,curl-hammer-manubri-alternato-panca-verticale
