codice	nome	nome_en	pattern	gruppo_target	attrezzo	luogo	muscoli	livello	uso	zone_rischio	adattamento	alternativa	setup	esecuzione	errori	nota_sicurezza	surrogato_attrezzo	nota_surrogato	esecuzione_surrogato	errori_surrogato	gif_slug
EX721	Rematore invertito anelli		tirata orizzontale	dorsali	anelli	casa;palestra;libero	gran dorsale;romboidi;trapezio medio;bicipiti;core	intermedio	principale	spalle;lombare	lombare: corpo in linea retta, core e glutei contratti. spalle: alza gli anelli per ridurre l'inclinazione e il carico	EX077	Anelli regolati alla stessa altezza, presa neutra, corpo inclinato indietro in linea retta, talloni a terra, braccia distese	Tirata del corpo verso gli anelli portando i gomiti lungo i fianchi;Contrai le scapole in chiusura;Discesa controllata 3 sec fino a braccia distese;Corpo sempre in linea dalla testa ai talloni	Far cedere il bacino verso il basso;Tirare con i bicipiti;Lasciare oscillare gli anelli;Non completare la distensione delle braccia	Gli anelli sono instabili per costruzione: parti con il corpo poco inclinato e abbassali solo quando resta fermo					rematore-invertito-anelli
EX722	Rematore invertito sotto tavolo		tirata orizzontale	dorsali	corpo libero	casa	gran dorsale;romboidi;trapezio medio;bicipiti;core	principiante;intermedio	principale	spalle;lombare	lombare: corpo in linea dalle ginocchia alle spalle, glutei contratti. progressione: distendi le gambe per aumentare il carico	EX077	Supino sotto un tavolo solido, mani sul bordo poco piu larghe delle spalle, ginocchia piegate, piedi a terra, bacino sollevato in linea con il busto	Tirata del petto verso il bordo del tavolo;Gomiti lungo i fianchi;Contrai le scapole in chiusura;Discesa controllata 3 sec fino a braccia distese	Far cedere il bacino verso il pavimento;Tirare solo con le braccia;Range corto senza avvicinare il petto al bordo;Spingere con le gambe	Prova la stabilita del tavolo prima di appenderti: non deve scivolare o ribaltarsi					rematore-invertito-sotto-tavolo
EX723	Rematore alla porta		tirata orizzontale	dorsali	corpo libero	casa	trapezio medio;romboidi;gran dorsale;bicipiti	principiante	principale	spalle;lombare	spalle: avvicina i piedi alla porta per ridurre l'inclinazione. lombare: corpo in linea, senza inarcare	EX030	In piedi davanti a una porta aperta, punte dei piedi alla base dello stipite, mani sui due bordi all'altezza del petto, braccia distese, corpo inclinato indietro in linea retta	Tirati verso la porta piegando i gomiti lungo i fianchi;Contrai le scapole in chiusura;Torna indietro controllato fino a braccia distese;Corpo sempre in linea dalla testa ai talloni	Piegare le anche invece di muovere il corpo intero;Tirare con i bicipiti;Staccare i talloni da terra;Range corto	Impugna i due bordi dello stipite di una porta aperta, mai la maniglia: piu arretri con i piedi, piu il carico aumenta					rematore-alla-porta
EX724	Trazioni sbarra scapolare		isolamento	trapezi	sbarra	casa;libero;palestra	trapezio inferiore;romboidi;gran dorsale;dentato anteriore	principiante	principale	spalle	spalle: movimento corto e lento, senza lasciarsi cadere in fondo. se la presa cede, appoggia le punte dei piedi a terra	EX030	Appeso alla sbarra con presa prona poco piu larga delle spalle, braccia distese, gambe leggermente flesse, corpo fermo	Abbassa le scapole tirando le spalle lontano dalle orecchie;Le braccia restano distese e il corpo sale di pochi centimetri;Tieni un secondo in contrazione;Torna controllato in sospensione completa	Piegare i gomiti trasformandolo in una trazione;Usare slancio;Fermarsi prima della sospensione completa;Portare le spalle verso le orecchie in discesa	I gomiti restano distesi per tutto il movimento: se si piegano non stai piu allenando le scapole					trazioni-sbarra-scapolare
EX725	Piegamenti scapolari		isolamento		corpo libero	casa;libero;palestra	dentato anteriore;trapezio inferiore;romboidi;core	principiante	principale	spalle;polsi	polsi: appoggia i pugni o due maniglie invece dei palmi. spalle: parti con le ginocchia a terra	EX030	In appoggio frontale sulle mani, braccia distese, mani sotto le spalle, corpo in linea dalla testa ai talloni	Lascia scendere il petto avvicinando le scapole fra loro, braccia sempre distese;Spingi il pavimento allontanando le scapole e arrotondando la schiena alta;Movimento corto e lento;Il bacino resta fermo	Piegare i gomiti trasformandolo in un piegamento;Muovere il bacino su e giu;Trattenere il respiro;Andare a scatti	Il movimento sta tutto fra le scapole: se i gomiti si piegano o il bacino sale, riduci l'ampiezza					piegamenti-scapolari
EX726	Trazioni Muscle up		tirata verticale	dorsali	sbarra	casa;libero;palestra	gran dorsale;pettorali;tricipiti;deltoidi anteriori;core	avanzato	skill	spalle;polsi;gomito	spalle: non tentarlo senza almeno 10 trazioni complete e 10 dip pulite. polsi: passaggio rapido, non restare fermo in appoggio	EX008	Appeso alla sbarra con presa prona chiusa, pollici sopra la barra, gambe unite, corpo fermo	Trazione esplosiva portando il petto verso la sbarra;Ruota i polsi sopra la barra passando i gomiti in avanti;Distendi le braccia in appoggio sopra la sbarra;Discesa controllata invertendo il passaggio	Cercare il passaggio senza altezza sufficiente;Slanciare le gambe in modo scomposto;Passare un braccio per volta;Lasciarsi cadere in discesa	Movimento di skill: si prepara con trazioni esplosive e transizioni assistite con elastico, mai al primo tentativo					trazioni-muscle-up
EX727	Trazioni sbarra L-sit		tirata verticale	dorsali	sbarra	casa;libero;palestra	gran dorsale;bicipiti;retto addominale;flessori dell'anca	avanzato	skill	spalle;lombare	lombare: se il bacino si inarca, tieni le ginocchia raccolte al petto invece delle gambe tese	EX008	Appeso alla sbarra con presa prona poco piu larga delle spalle, gambe distese in avanti a squadra, punte dei piedi tese	Mantieni la squadra ferma per tutta la serie;Tirata verso l'alto fino al mento sopra la sbarra;Discesa controllata 3 sec;Le gambe non scendono mai sotto l'altezza del bacino	Lasciare cadere le gambe durante la tirata;Inarcare la lombare;Oscillare;Piegare le ginocchia per alleggerire	La squadra si tiene con il core, non con i flessori: se la lombare si inarca, scendi alle ginocchia raccolte					trazioni-sbarra-l-sit
EX728	Trazioni sbarra rotazione		tirata verticale	dorsali	sbarra	casa;libero;palestra	gran dorsale;bicipiti;obliqui;core	avanzato	skill	spalle;gomito	spalle: riduci l'ampiezza dello spostamento e resta vicino al centro della sbarra	EX008	Appeso alla sbarra con presa prona larga, braccia distese, gambe unite, corpo fermo	Tirati verso un lato della sbarra;Trasla il corpo lungo la sbarra fino al lato opposto restando in alto;Scendi controllato dal lato opposto;Inverti il senso a ogni ripetizione	Scendere a meta traslazione;Usare slancio delle gambe;Caricare tutto su un braccio solo;Non alternare i sensi	Nel punto piu lontano il carico passa quasi tutto su un braccio: si prepara con trazioni a un braccio assistite					trazioni-sbarra-rotazione
EX729	Trazioni sbarra oscillazione giro completo		tirata verticale	dorsali	sbarra	casa;libero;palestra	gran dorsale;bicipiti;avambracci;core	avanzato	skill	spalle;polsi;gomito	spalle: non tentarlo senza una presa salda e trazioni complete pulite	EX008	Appeso alla sbarra con presa prona, braccia distese, gambe unite, spazio libero tutto intorno	Tirata esplosiva verso l'alto;Ruota il corpo di 360 gradi attorno alla sbarra staccando e riprendendo la presa;Riprendi la sbarra con entrambe le mani;Ammortizza la ripresa con le braccia semiflesse	Tentare il giro senza altezza sufficiente;Riprendere la sbarra a braccia rigide;Ruotare senza controllo delle gambe;Usare una sbarra troppo bassa	Prevede una fase senza presa: servono sbarra alta, spazio libero intorno e un tappeto sotto					trazioni-sbarra-oscillazione-giro-completo
EX730	Front lever pulldown parallele		tirata verticale	dorsali	corpo libero	casa;palestra;libero	gran dorsale;trapezio inferiore;retto addominale;glutei	avanzato	skill	spalle;lombare	lombare: tieni le ginocchia raccolte al petto finche il bacino non resta fermo	EX008	Appeso sotto le parallele con presa neutra, corpo disteso e orizzontale, glutei e core contratti	Con le braccia distese tira il corpo verso l'alto ruotando sulle spalle;Il corpo resta rigido e orizzontale;Torna controllato alla posizione bassa;I gomiti non si piegano mai	Piegare i gomiti;Far cedere il bacino;Perdere l'orizzontalita;Trattenere il respiro	Il carico si concentra sulla spalla a braccio disteso: si costruisce dalle progressioni raccolte, mai a gambe tese subito					front-lever-pulldown-parallele
EX731	Back lever parallele		isometria	dorsali	corpo libero	casa;palestra;libero	gran dorsale;deltoidi anteriori;bicipiti;lombari;glutei	avanzato	skill	spalle;gomito;lombare	spalle: parti dalla tenuta raccolta e apri il corpo solo quando la posizione resta ferma. gomito: gomiti morbidi, mai bloccati in iperestensione	EX008	Sospeso alle parallele con presa prona, corpo capovolto e poi disteso in orizzontale a faccia in giu, braccia distese dietro il corpo	Apri il corpo fino all'orizzontale con la schiena rivolta al pavimento;Tieni la posizione ferma per il tempo previsto;Glutei e core contratti, corpo in linea;Esci raccogliendo le ginocchia	Aprire il corpo tutto in una volta;Bloccare i gomiti in iperestensione;Far cedere la lombare;Bloccare il respiro	Tenuta a tempo, non a ripetizioni. La spalla lavora in estensione estrema: si arriva per progressioni e mai a freddo					back-lever-parallele
EX732	Trazioni sbarra con salto		tirata verticale	dorsali	sbarra	casa;libero;palestra	gran dorsale;bicipiti;romboidi;quadricipiti	principiante	finisher	spalle;gomito	spalle: usa il salto per superare tutto il tratto difficile e concentra il lavoro sulla discesa	EX505	In piedi sotto una sbarra bassa, mani in presa prona poco piu larghe delle spalle, ginocchia leggermente piegate	Salta portando il mento sopra la sbarra;Trattieni un istante in alto;Discesa lenta 3-5 sec fino a braccia distese;Appoggia i piedi e ricomincia	Usare il salto anche in discesa;Scendere di colpo;Salto troppo debole per arrivare in alto;Sbarra troppo alta per appoggiare i piedi	Il valore sta nella discesa lenta: se scendi di colpo l'esercizio non allena niente					trazioni-sbarra-con-salto
EX733	Trazioni sbarra isometriche		tirata verticale	dorsali	sbarra	casa;libero;palestra	gran dorsale;bicipiti;romboidi;avambracci	principiante;intermedio	finisher	spalle;gomito	spalle: tieni la posizione alta e chiusa invece che a meta strada, dove la spalla lavora di piu	EX505	Appeso alla sbarra con presa prona poco piu larga delle spalle, sali fino al punto scelto con un salto o con un rialzo	Mantieni la posizione ferma per il tempo previsto;Scapole basse e gomiti stretti;Corpo senza oscillazioni;Scendi controllato a fine tenuta	Scivolare in basso durante la tenuta;Trattenere il respiro;Spalle che salgono verso le orecchie;Oscillare con le gambe	Tenuta a tempo, non a ripetizioni: si smette quando la posizione cede, non quando finisce il cronometro					trazioni-sbarra-isometriche
EX734	Trazioni sbarra parziale presa stretta		tirata verticale	dorsali	sbarra	casa;libero;palestra	gran dorsale;bicipiti;romboidi;trapezio medio	principiante	finisher	spalle;gomito	gomito: presa stretta ma non a mani unite, polsi in linea con gli avambracci	EX505	Appeso alla sbarra con presa prona stretta, mani vicine, braccia distese, gambe leggermente flesse	Tirata nella meta alta del movimento;Fermati sotto il punto in cui il mento supera la sbarra;Discesa controllata fino a braccia semiflesse;Non scendere in sospensione completa	Estendere del tutto le braccia perdendo la tensione;Slanciare le gambe;Range troppo corto;Spalle che salgono verso le orecchie	Il range parziale serve a restare sotto tensione: si passa alla trazione completa quando reggi 10-12 ripetizioni pulite					trazioni-sbarra-parziale-presa-stretta
EX735	Trazioni sbarra presa neutra stretta		tirata verticale	dorsali	sbarra	casa;palestra	gran dorsale;bicipiti;brachiale;trapezio medio	intermedio	finisher	spalle;gomito	spalle: la presa neutra chiude meno la spalla, resta su questa se le altre prese danno fastidio	EX510	Appeso alle maniglie neutre strette della stazione, palmi che si guardano, braccia distese, gambe leggermente flesse	Tirata verso l'alto portando il petto verso le maniglie;Gomiti stretti lungo i fianchi;Contrai le scapole in chiusura;Discesa controllata 3 sec fino a braccia distese	Non completare la distensione in basso;Usare slancio;Fermarsi a meta salita;Spingere il mento avanti al posto del petto	Serve una stazione con maniglie parallele: con la sola sbarra dritta la presa neutra stretta non si riproduce					trazioni-sbarra-presa-neutra-stretta
EX736	Trazioni sbarra assistite asciugamano un braccio		tirata verticale	dorsali	sbarra	casa;libero;palestra	gran dorsale;bicipiti;avambracci;core;obliqui	avanzato	finisher	spalle;gomito;polsi	spalle: piu in alto tieni la mano sull'asciugamano, piu il braccio libero aiuta	EX505	Un asciugamano appeso alla sbarra, una mano in presa prona sulla barra, l'altra che stringe l'asciugamano piu in basso, braccia distese	Tirata portando verso la sbarra la spalla del braccio che impugna la barra;La mano sull'asciugamano assiste solo quanto serve;Discesa controllata 3 sec;Cambia lato a ogni serie	Tirare in parti uguali con le due mani;Ruotare il busto per aiutarsi;Presa che scivola sull'asciugamano;Non alternare i lati	Controlla che l'asciugamano non scivoli sulla sbarra prima di caricarci il peso, e alterna sempre i due lati					trazioni-sbarra-assistite-asciugamano-un-braccio
EX737	Trazioni sbarra arciere		tirata verticale	dorsali	sbarra	casa;libero;palestra	gran dorsale;bicipiti;romboidi;core;obliqui	avanzato	finisher	spalle;gomito	spalle: riduci la larghezza della presa e sali meno alto sul lato che lavora	EX505	Appeso alla sbarra con presa prona molto larga, braccia distese, gambe unite	Tirati verso una mano piegando quel gomito;Il braccio opposto resta quasi disteso e accompagna;Porta il mento sopra la mano che lavora;Discesa controllata e cambio lato	Piegare entrambe le braccia;Ruotare il busto verso la sbarra;Non alternare i lati;Presa troppo stretta che annulla l'effetto	Il braccio disteso accompagna, non tira: se si piega il lavoro torna diviso fra le due braccia					trazioni-sbarra-arciere
EX738	Trazioni sbarra alternate alla spalla		tirata verticale	dorsali	sbarra	casa;libero;palestra	gran dorsale;bicipiti;trapezio medio;core;obliqui	avanzato	finisher	spalle;gomito;cervicale	spalle: sali meno alto e resta piu centrato sulla sbarra. cervicale: collo in linea, non allungare la testa verso la mano	EX505	Appeso alla sbarra con presa prona poco piu larga delle spalle, braccia distese, gambe unite	Tirata portando la spalla verso una mano;Alterna il lato a ogni ripetizione;Il bacino resta sotto la sbarra;Discesa controllata fino a braccia distese	Ruotare il bacino per raggiungere il lato;Fermarsi a meta salita;Alzare la spalla verso l'orecchio;Non alternare i lati	Lo spostamento resta laterale, non rotatorio: se il bacino ruota il carico passa alla lombare					trazioni-sbarra-alternate-alla-spalla
