codice	nome	nome_en	pattern	gruppo_target	attrezzo	luogo	muscoli	livello	uso	zone_rischio	adattamento	alternativa	setup	esecuzione	errori	nota_sicurezza	surrogato_attrezzo	nota_surrogato	esecuzione_surrogato	errori_surrogato	gif_slug
EX070	Scrollate bilanciere presa stretta	Barbell shrug	isolamento	trapezi	bilanciere	casa;libero;palestra	trapezio superiore;elevatore della scapola	principiante;intermedio	finisher	cervicale;spalle;polso	cervicale: solo elevazione verticale, mai rotazione. polso: usa le fasce se il grip cede prima del trapezio	EX487	In piedi, bilanciere impugnato con presa prona davanti alle cosce, braccia distese, piedi larghezza anche, busto eretto	Eleva le spalle verticalmente verso le orecchie;Pausa 1-2 sec in massima contrazione;Discesa controllata 3 sec fino al massimo allungamento;Braccia sempre distese	Ruotare le spalle in circolo;Piegare i gomiti;Slanciare con le gambe	Cervicale: il movimento e solo verticale, mai rotatorio. Se il grip cede prima del trapezio, usa le fasce	elastico	Elastico sotto i piedi, maniglie in mano lungo i fianchi: elevazione verticale delle spalle contro resistenza crescente	In piedi sopra l'elastico, maniglie in mano lungo i fianchi, braccia distese, busto eretto;Eleva le spalle verticalmente verso le orecchie contro la resistenza;Pausa 1-2 sec in massima contrazione;Discesa lenta 3 sec senza far collassare l'elastico	Piegare i gomiti trasformandolo in una tirata;Ruotare le spalle in circolo;Slanciare con le gambe;Elastico troppo corto che impedisce l'allungamento	scrollate-bilanciere-presa-stretta
EX076	Rematore manubri panca piana	Dumbbell row prone flat bench	tirata orizzontale	dorsali	panca	casa;palestra	gran dorsale;romboidi;trapezio medio;bicipiti;deltoide posteriore	principiante;intermedio	principale	spalle	spalle: tirata con gomiti lungo il corpo. lombare completamente protetta: variante ideale per chi ha problemi alla schiena	EX011	Prono sulla panca piana rialzata, petto in appoggio, gambe distese dietro, manubri con presa neutra a braccia distese verso il basso	Tirata simultanea dei manubri verso i fianchi portando i gomiti indietro;Contrai le scapole in chiusura;Discesa controllata 3 sec;Petto sempre in appoggio	Staccare il petto dalla panca per aiutarsi;Tirare con i bicipiti;Non completare la distensione in basso	Chest supported: la lombare non lavora affatto. Prima scelta se hai problemi alla schiena	elastico+panca	Elastico sotto i piedi con petto in appoggio sulla panca inclinata: riproduce il rematore chest supported senza carico lombare	Petto in appoggio sulla panca inclinata, elastico ancorato basso o sotto i piedi, maniglie in mano a braccia distese;Tira le maniglie verso il petto portando i gomiti indietro;Contrai le scapole in chiusura, petto sempre in appoggio;Ritorno lento 3 sec mantenendo la tensione	Staccare il petto dalla panca per aiutarsi;Tirare con i bicipiti;Elastico troppo corto che limita il range;Ritorno di scatto	rematore-manubri-panca-piana
EX437	Croci inverse cavi alti prono panca piana	Cable rear delt fly flat bench	isolamento	deltoidi posteriori	cavi	casa;palestra	deltoide posteriore;romboidi;trapezio medio	principiante;intermedio	finisher	spalle	spalle: apertura fino alla linea spalle, gomiti morbidi. lombare protetta dall'appoggio del petto	EX059	Panca piana posizionata tra due pulegge basse, petto in appoggio sulla panca, cavi incrociati sotto, una maniglia per mano, braccia distese verso il basso	Apertura laterale delle braccia fino alla linea delle spalle;Pausa in contrazione;Ritorno controllato 3 sec;Petto sempre in appoggio	Staccare il petto dalla panca per aiutarsi;Piegare troppo i gomiti;Movimento troppo veloce	Il petto in appoggio elimina il carico sulla lombare: e la variante piu sicura per chi ha problemi alla schiena	elastico	Elastico teso tra le mani all'altezza del petto, apertura laterale delle braccia: riproduce le croci inverse	In piedi o seduto, elastico teso tra le mani all'altezza del petto, braccia distese in avanti;Apri lateralmente le braccia contro la resistenza fino alla linea delle spalle;Contrai le scapole a fine apertura;Ritorno lento 3 sec senza far collassare l'elastico	Piegare i gomiti;Superare la linea delle spalle;Usare slancio del busto;Elevare le spalle verso le orecchie	croci-inverse-cavi-alti-prono-panca-piana
EX445	Estensione dorsale panca romana	Hyperextension 45 bench	isolamento	lombari	panca romana	casa;palestra	erettori spinali;glutei;ischiocrurali	principiante	finisher;riscaldamento	lombare	lombare: schiena neutra in tutto il movimento, risalita fino all'allineamento con le gambe	EX442	Panca romana a 45 gradi, cuscino sotto le anche, caviglie bloccate, braccia incrociate al petto, schiena neutra	Discesa controllata flettendo le anche;Risalita fino ad allineare busto e gambe;Contrai glutei e lombari in alto;Non superare la linea di allineamento	Iperestendere in alto;Arrotondare la schiena in discesa;Movimento a scatti	Il movimento parte dall'anca, non dalla schiena: la colonna resta neutra dall'inizio alla fine	corpo libero	Superman a terra o hip hinge con elastico: riproduce l'estensione lombare senza panca romana	Prono a terra, braccia distese avanti o mani alla nuca, sguardo verso il pavimento;Solleva contemporaneamente petto e gambe estendendo la schiena;Pausa 2 sec contraendo lombari e glutei;Discesa controllata, collo sempre in linea con la colonna	Iperestendere la lombare;Alzare la testa guardando avanti;Sollevare troppo in alto perdendo il controllo;Movimento a scatti	estensione-dorsale-panca-romana
EX446	Estensione dorsale con disco panca romana	Weighted hyperextension 45 bench plate	isolamento	lombari	panca romana	casa;palestra	erettori spinali;glutei;ischiocrurali	intermedio	finisher	lombare	lombare: aggiungi il disco solo dopo aver padroneggiato la versione a corpo libero. schiena sempre neutra	EX442	Panca romana a 45 gradi, disco tenuto stretto al petto con entrambe le braccia, caviglie bloccate, schiena neutra	Discesa controllata flettendo le anche;Risalita fino ad allineare busto e gambe;Contrai glutei in alto;Disco sempre aderente al petto	Iperestendere in alto;Allontanare il disco dal petto aumentando la leva;Arrotondare la schiena	Carico progressivo: il disco aumenta la leva sulla lombare. Aumenta di 2-3 kg alla volta, non di piu	corpo libero	Superman a terra o hip hinge con elastico: riproduce l'estensione lombare senza panca romana	Prono a terra, braccia distese avanti o mani alla nuca, sguardo verso il pavimento;Solleva contemporaneamente petto e gambe estendendo la schiena;Pausa 2 sec contraendo lombari e glutei;Discesa controllata, collo sempre in linea con la colonna	Iperestendere la lombare;Alzare la testa guardando avanti;Sollevare troppo in alto perdendo il controllo;Movimento a scatti	estensione-dorsale-con-disco-panca-romana
EX447	Estensione dorsale con manubrio panca romana	Weighted hyperextension 45 bench dumbbell	isolamento	lombari	panca romana	casa;palestra	erettori spinali;glutei;ischiocrurali	intermedio	finisher	lombare	lombare: manubrio stretto al petto, schiena neutra. carico progressivo	EX442	Panca romana a 45 gradi, manubrio tenuto verticale stretto al petto, caviglie bloccate, schiena neutra	Discesa controllata flettendo le anche;Risalita fino ad allineare busto e gambe;Contrai glutei e lombari in alto;Manubrio sempre aderente al petto	Iperestendere in alto;Allontanare il manubrio dal petto;Movimento a scatti	Il manubrio permette carichi maggiori del disco: aumenta gradualmente e mantieni sempre la schiena neutra	corpo libero	Superman a terra o hip hinge con elastico: riproduce l'estensione lombare senza panca romana	Prono a terra, braccia distese avanti o mani alla nuca, sguardo verso il pavimento;Solleva contemporaneamente petto e gambe estendendo la schiena;Pausa 2 sec contraendo lombari e glutei;Discesa controllata, collo sempre in linea con la colonna	Iperestendere la lombare;Alzare la testa guardando avanti;Sollevare troppo in alto perdendo il controllo;Movimento a scatti	estensione-dorsale-con-manubrio-panca-romana
EX451	Lat machine dietro barra dritta	Behind the neck lat pulldown	tirata verticale	dorsali	macchina	casa;palestra	gran dorsale;romboidi;trapezio medio;deltoide posteriore	avanzato	finisher	spalle;cervicale	spalle: richiede ottima mobilita in extrarotazione. se manca, usa la lat machine frontale. cervicale: mai sbattere la barra sul collo	EX450	Seduto alla lat machine, cosce bloccate, barra dritta con presa prona larga, busto perfettamente eretto, testa leggermente flessa in avanti	Tirata della barra dietro la nuca fino alla base del collo;Pausa breve;Risalita controllata 3 sec;Busto sempre eretto	Flettere troppo il collo in avanti;Scendere sotto la base del collo;Usare carichi eccessivi	Esercizio avanzato ad alto rischio per le spalle: se non hai mobilita overhead completa, scegli la versione frontale	elastico	Elastico ancorato in alto (porta o gancio), in ginocchio o seduto sotto l'ancoraggio: riproduce la tirata verticale della lat machine	Elastico ancorato sopra la testa, maniglie in mano, braccia distese in alto, core contratto;Tira i gomiti verso il basso-indietro portando le maniglie all'altezza del petto;Contrai i dorsali e abbassa le scapole a fine tirata, busto fermo;Ritorno lento 3 sec controllando l'eccentrica, senza far collassare l'elastico	Tirare solo di braccia senza attivare i dorsali;Spalle che salgono verso le orecchie;Busto che oscilla avanti e indietro;Ritorno di scatto che vanifica l'eccentrica	lat-machine-dietro-barra-dritta
EX452	Lat machine dietro macchina	Behind the neck machine lat pulldown	tirata verticale	dorsali	macchina	casa;palestra	gran dorsale;romboidi;trapezio medio;deltoide posteriore	intermedio;avanzato	finisher	spalle;cervicale	spalle: la macchina guida il movimento e riduce il rischio rispetto alla barra libera. serve comunque mobilita	EX450	Seduto alla macchina guidata, schienale in appoggio, impugnature all'altezza delle spalle, busto eretto	Tirata verso il basso dietro la nuca lungo la traiettoria guidata;Pausa in contrazione scapolare;Risalita controllata 3 sec;Schiena aderente allo schienale	Staccare la schiena dallo schienale;Flettere eccessivamente il collo;Carichi eccessivi	La traiettoria guidata riduce ma non elimina il rischio: serve comunque buona mobilita di spalla	elastico	Elastico ancorato in alto (porta o gancio), in ginocchio o seduto sotto l'ancoraggio: riproduce la tirata verticale della lat machine	Elastico ancorato sopra la testa, maniglie in mano, braccia distese in alto, core contratto;Tira i gomiti verso il basso-indietro portando le maniglie all'altezza del petto;Contrai i dorsali e abbassa le scapole a fine tirata, busto fermo;Ritorno lento 3 sec controllando l'eccentrica, senza far collassare l'elastico	Tirare solo di braccia senza attivare i dorsali;Spalle che salgono verso le orecchie;Busto che oscilla avanti e indietro;Ritorno di scatto che vanifica l'eccentrica	lat-machine-dietro-macchina
EX454	Lat machine frontale presa stretta	Close grip lat pulldown	tirata verticale	dorsali	macchina	casa;palestra	gran dorsale;bicipiti;romboidi;trapezio medio	principiante;intermedio	principale	spalle;gomito	spalle: presa stretta piu confortevole di quella larga. gomito: non bloccare le braccia in alto	EX450	Seduto alla lat machine, cosce bloccate, barra dritta con presa prona stretta larghezza spalle, busto leggermente inclinato indietro	Tirata verso la parte alta del petto;Gomiti che scendono vicini al corpo;Pausa in contrazione;Risalita controllata 3 sec	Slanciare il busto;Tirare con i bicipiti;Sollevare le spalle verso le orecchie in alto	La presa stretta aumenta il coinvolgimento dei bicipiti: concentrati sulla contrazione scapolare	elastico	Elastico ancorato in alto (porta o gancio), in ginocchio o seduto sotto l'ancoraggio: riproduce la tirata verticale della lat machine	Elastico ancorato sopra la testa, maniglie in mano, braccia distese in alto, core contratto;Tira i gomiti verso il basso-indietro portando le maniglie all'altezza del petto;Contrai i dorsali e abbassa le scapole a fine tirata, busto fermo;Ritorno lento 3 sec controllando l'eccentrica, senza far collassare l'elastico	Tirare solo di braccia senza attivare i dorsali;Spalle che salgono verso le orecchie;Busto che oscilla avanti e indietro;Ritorno di scatto che vanifica l'eccentrica	lat-machine-frontale-presa-stretta
EX456	Lat machine un braccio maniglia	One arm lat pulldown handle	tirata verticale	dorsali	cavo alto	casa;palestra	gran dorsale;bicipiti;romboidi;obliqui	intermedio	finisher	spalle;lombare	spalle: range completo, la versione unilaterale permette maggiore allungamento. lombare: busto fermo, non ruotare	EX009	Seduto alla lat machine, cosce bloccate, maniglia singola agganciata al cavo alto, presa neutra, braccio disteso in alto, busto eretto	Tirata verso il basso portando il gomito lungo il fianco;Contrai il dorsale in chiusura;Risalita controllata 3 sec fino al massimo allungamento;Completa le ripetizioni, poi cambia braccio	Ruotare il busto per aiutarsi;Tirare con il bicipite;Non sfruttare l'allungamento completo in alto	Il lavoro unilaterale permette di correggere gli squilibri: parti sempre dal lato debole	elastico	Elastico ancorato in alto (porta o gancio), in ginocchio o seduto sotto l'ancoraggio: riproduce la tirata verticale della lat machine	Elastico ancorato sopra la testa, maniglie in mano, braccia distese in alto, core contratto;Tira i gomiti verso il basso-indietro portando le maniglie all'altezza del petto;Contrai i dorsali e abbassa le scapole a fine tirata, busto fermo;Ritorno lento 3 sec controllando l'eccentrica, senza far collassare l'elastico	Tirare solo di braccia senza attivare i dorsali;Spalle che salgono verso le orecchie;Busto che oscilla avanti e indietro;Ritorno di scatto che vanifica l'eccentrica	lat-machine-un-braccio-maniglia
